sceneName,index,userAnswer,quizAnswer,response
Scenario1,2,경구투여 (PO),정맥투여 (IV),"경구투여(PO): 입으로 약을 복용하는 방법, 가장 흔하고 편리합니다."
Scenario1,2,피하주사 (SC),정맥투여 (IV),"피하주사(SC): 피부 아래 지방층에 주사, 서서히 흡수됩니다."
Scenario1,2,흡입 (Inhalation),정맥투여 (IV),"흡입(Inhalation): 기도를 통해 약물을 흡입, 호흡기 치료에 주로 사용됩니다."
Scenario1,2,피내주사 (ID),정맥투여 (IV),"피내주사(ID): 피부 매우 얕은 층에 주사, 알레르기 검사 등에 이용됩니다."
Scenario1,2,경막외주사 (Epidural),정맥투여 (IV),"경막외주사(Epidural): 척추와 뼈 사이 경막 바깥 공간에 주사, 주로 진통에 사용됩니다."
Scenario1,3,1kg 당 50mg을 하루 8시간 간격으로 투여,1kg 당 50mg을 하루 8시간 간격으로 투여,“Cefotaxime 50mg / kg / dose” 체중 1kg당 50mg 용량을 8시간마다 반복 투여하는 의미입니다. 
Scenario1,3,1kg 당  50mg 하루 8시간 동안 투여,1kg 당 50mg을 하루 8시간 간격으로 투여,1kg 당 50mg 하루 8시간 동안 투여 : 체중 1kg당 50mg 용량을 하루 8시간에 걸쳐 투여한다는 의미입니다.
Scenario1,3,1kg 당 500mg 하루 8시간 간격,1kg 당 50mg을 하루 8시간 간격으로 투여,1kg 당 500mg 하루 8시간 간격 : 체중 1kg당 500mg 용량을 8시간 간격으로 나누어 투여하는 것을 의미합니다.
Scenario1,3,1kg 당 500mg 하루 8시간 동안 투여,1kg 당 50mg을 하루 8시간 간격으로 투여,1kg 당 500mg 하루 8시간 동안 투여 : 체중 1kg당 500mg 용량을 하루 8시간에 걸쳐 투여한다는 의미입니다.
Scenario1,3,1회 50mg 하루 8시간 간격 투여,1kg 당 50mg을 하루 8시간 간격으로 투여,"1회 50mg 하루 8시간 간격 투여 : 1회에 50mg을 투여하고, 이를 하루 8시간 간격으로 반복 투여한다는 의미입니다."
Scenario1,3,1회 50mg 하루 8시간 동안 투여,1kg 당 50mg을 하루 8시간 간격으로 투여,1회 50mg 하루 8시간 동안 투여 : 1회 50mg을 하루 8시간에 걸쳐 투여한다는 것을 의미입니다.
Scenario1,3,1회 500mg 하루 8시간 간격 투여,1kg 당 50mg을 하루 8시간 간격으로 투여,1회 500mg 하루 8시간 간격 투여 : 1회 500mg 용량을 하루 8시간에 걸쳐 투여한다는 것을 의미합니다.
Scenario1,3,1회 500mg 하루 8시간 동안 투여,1kg 당 50mg을 하루 8시간 간격으로 투여,1회 500mg 하루 8시간 동안 투여 : 1회 500mg을 하루 8시간에 걸쳐 투여한다는 것을 의미합니다.
Scenario1,4,6am,6am,"네, 투약 예정 시간 20분 전입니다. 약물 준비를 시작해 주세요."" \n5Rights [정확한 환자(Right Patient), 정확한 약물 (Right Drug), 정확한 용량 (Right Dose), 정확한 투여  경로 (Right Route), 정확한 시간 (Right Time)] 중 하나로, 안전하고 효과적인 투약을 위해 반드시 지켜  져야 하는 기본 원칙입니다."
Scenario1,4,2pm,2pm,"네, 투약 예정 시간 20분 전입니다. 약물 준비를 시작해 주세요."" \n5Rights [정확한 환자(Right Patient), 정확한 약물 (Right Drug), 정확한 용량 (Right Dose), 정확한 투여  경로 (Right Route), 정확한 시간 (Right Time)] 중 하나로, 안전하고 효과적인 투약을 위해 반드시 지켜  져야 하는 기본 원칙입니다."
Scenario1,4,10pm,10pm,"네, 투약 예정 시간 20분 전입니다. 약물 준비를 시작해 주세요."" \n5Rights [정확한 환자(Right Patient), 정확한 약물 (Right Drug), 정확한 용량 (Right Dose), 정확한 투여  경로 (Right Route), 정확한 시간 (Right Time)] 중 하나로, 안전하고 효과적인 투약을 위해 반드시 지켜  져야 하는 기본 원칙입니다."
Scenario1,4,d,d,현재 시간이 정규 투약 스케쥴과 일치하지 않습니다. 투약시간을 다시 확인해 주세요.
Scenario1,5,세팔로스포린계 항생물질 (Cephalosporin),세팔로스포린계 항생물질 (Cephalosporin),"세팔로스포린계 항생물질은 베타-락탐 항생제의 한 종류로, 박테리아 세포벽 생성을 저해하여 세균을 사멸시키는 광범위 항균제입니다"
Scenario1,5,암피실린계 항생물질 (Ampicillin),세팔로스포린계 항생물질 (Cephalosporin),암피실린계 항생물질 (Ampicillin)은 광범위한 그람양성 및 일부 그람음성균에 효과적인 베타락탐계 항생제입니다.
Scenario1,5,아목시실린계 항생물질 (Amoxicillin),세팔로스포린계 항생물질 (Cephalosporin),아목시실린계 항생물질 (Amoxicillin)은 페니실린계 항생제로 상기도 및 요로 감염 치료에 널리 사용됩니다.
Scenario1,5,메로페넴계 항생물질 (Meropenem),세팔로스포린계 항생물질 (Cephalosporin),메로페넴계 항생물질 (Meropenem)은 내성균 포함 광범위한 세균 감염에 효과적인 카바페넴계 항생제입니다.
Scenario1,5,젠타마이신계 항생물질 (Gentamicin),세팔로스포린계 항생물질 (Cephalosporin),젠타마이신계 항생물질 (Gentamicin)은 아미노글리코사이드계 항생제로 심각한 그람음성균 감염에 사용됩니다.
Scenario1,5,반코마이신계 항생물질 (Vancomycin),세팔로스포린계 항생물질 (Cephalosporin),"반코마이신계 항생물질 (Vancomycin)은 내성 그람양성균, 특히 MRSA 치료에 중요한 글라이코펩타이드계 항생제입니다."
Scenario1,5,테트라사이클린계 항생물질 (Tetracycline),세팔로스포린계 항생물질 (Cephalosporin),테트라사이클린계 항생물질 (Tetracycline)은 광범위 항균 효과를 가지며 다양한 감염에 사용되는 항생제입니다.
Scenario1,5,퀴놀론계 항생물질 (Ciprofloxacin),세팔로스포린계 항생물질 (Cephalosporin),퀴놀론계 항생물질 (Ciprofloxacin)은 그람음성 및 일부 그람양성균에 효과적인 합성 항생제입니다
Scenario1,5,마크로라이드계 항생물질 (Azithromycin),세팔로스포린계 항생물질 (Cephalosporin),마크로라이드계 항생물질 (Azithromycin)은 주로 호흡기 감염과 성병 치료에 사용되는 광범위 항생제입니다.
Scenario1,5,설파제계 항생물질  (Sulfamethoxazole),세팔로스포린계 항생물질 (Cephalosporin),설파제계 항생물질 (Sulfamethoxazole)은 세포 독성을 가진 균의 대사 억제를 통해 감염을 치료하는 항균제입니다.
Scenario1,6,정맥주사 또는 근육주사,정맥주사 또는 근육주사,"세포탁심은 근육주사(IM) 또는 정맥주사(IV)로 투여하며, 감염의 종류와 중증도에 따라 투여 경로와 용량이 조절됩니다. \n정맥투여 시 0.5g 또는 1g은 주사용수에 녹여 3~5분간 서서히 주사하거나 고용량에서는 희석하여 20분에서 60분 간 점적 주사를 하며, 근육주사는 둔부 깊숙이 주사합니다. 소아, 신장 기능 저하 환자 등은 용량 조절이 필요합니다. "
Scenario1,6,정맥주사로만 투여,정맥주사 또는 근육주사,"“약물 투여 경로가 잘못되었습니다.“ \n세포탁심은 근육주사(IM) 또는 정맥주사(IV)로 투여하며, 감염의 종류와 중증도에 따라 투여 경로와 용량이 조절됩니다. 정맥투여 시 0.5g 또는 1g은 주사용수에 녹여 3~5분간 서서히 주사하거나 고용량에서는 희석하여 20분에서 60분 간 점적 주사를 하며, 근육주사는 둔부 깊숙이 주사합니다. 소아, 신장 기능 저하 환자 등은 용량 조절이 필요합니다. "
Scenario1,6,근육주사로만 투여,정맥주사 또는 근육주사,"“약물 투여 경로가 잘못되었습니다.“ \n세포탁심은 근육주사(IM) 또는 정맥주사(IV)로 투여하며, 감염의 종류와 중증도에 따라 투여 경로와 용량이 조절됩니다. 정맥투여 시 0.5g 또는 1g은 주사용수에 녹여 3~5분간 서서히 주사하거나 고용량에서는 희석하여 20분에서 60분 간 점적 주사를 하며, 근육주사는 둔부 깊숙이 주사합니다. 소아, 신장 기능 저하 환자 등은 용량 조절이 필요합니다. "
Scenario1,6,피하주사로만 투여,정맥주사 또는 근육주사,"“약물 투여 경로가 잘못되었습니다.“\n세포탁심은 근육주사(IM) 또는 정맥주사(IV)로 투여하며, 감염의 종류와 중증도에 따라 투여 경로와 용량이 조절됩니다. 정맥투여 시 0.5g 또는 1g은 주사용수에 녹여 3~5분간 서서히 주사하거나 고용량에서는 희석하여 20분에서 60분 간 점적 주사를 하며, 근육주사는 둔부 깊숙이 주사합니다. 소아, 신장 기능 저하 환자 등은 용량 조절이 필요합니다. "
Scenario1,6,정맥주사 또는 피하주사,정맥주사 또는 근육주사,"“약물 투여 경로가 잘못되었습니다.“\n 세포탁심은 근육주사(IM) 또는 정맥주사(IV)로 투여하며, 감염의 종류와 중증도에 따라 투여 경로와 용량이 조절됩니다. 정맥투여 시 0.5g 또는 1g은 주사용수에 녹여 3~5분간 서서히 주사하거나 고용량에서는 희석하여 20분에서 60분 간 점적 주사를 하며, 근육주사는 둔부 깊숙이 주사합니다. 소아, 신장 기능 저하 환자 등은 용량 조절이 필요합니다. "
Scenario1,6,경구투여로만 투여,정맥주사 또는 근육주사,"“약물 투여 경로가 잘못되었습니다.“ \n세포탁심은 근육주사(IM) 또는 정맥주사(IV)로 투여하며, 감염의 종류와 중증도에 따라 투여 경로와 용량이 조절됩니다. 정맥투여 시 0.5g 또는 1g은 주사용수에 녹여 3~5분간 서서히 주사하거나 고용량에서는 희석하여 20분에서 60분 간 점적 주사를 하며, 근육주사는 둔부 깊숙이 주사합니다. 소아, 신장 기능 저하 환자 등은 용량 조절이 필요합니다. "
Scenario1,6,근육주사 또는 피하주사,정맥주사 또는 근육주사,"“약물 투여 경로가 잘못되었습니다.“ \n세포탁심은 근육주사(IM) 또는 정맥주사(IV)로 투여하며, 감염의 종류와 중증도에 따라 투여 경로와 용량이 조절됩니다. 정맥투여 시 0.5g 또는 1g은 주사용수에 녹여 3~5분간 서서히 주사하거나 고용량에서는 희석하여 20분에서 60분 간 점적 주사를 하며, 근육주사는 둔부 깊숙이 주사합니다. 소아, 신장 기능 저하 환자 등은 용량 조절이 필요합니다. "
Scenario1,6,경구 또는 정맥주사,정맥주사 또는 근육주사,"“약물 투여 경로가 잘못되었습니다.“ \n세포탁심은 근육주사(IM) 또는 정맥주사(IV)로 투여하며, 감염의 종류와 중증도에 따라 투여 경로와 용량이 조절됩니다. 정맥투여 시 0.5g 또는 1g은 주사용수에 녹여 3~5분간 서서히 주사하거나 고용량에서는 희석하여 20분에서 60분 간 점적 주사를 하며, 근육주사는 둔부 깊숙이 주사합니다. 소아, 신장 기능 저하 환자 등은 용량 조절이 필요합니다. "
Scenario1,6,"경구, 정맥주사, 근육주사 모두 가능",정맥주사 또는 근육주사,"“약물 투여 경로가 잘못되었습니다.“ \n세포탁심은 근육주사(IM) 또는 정맥주사(IV)로 투여하며, 감염의 종류와 중증도에 따라 투여 경로와 용량이 조절됩니다. 정맥투여 시 0.5g 또는 1g은 주사용수에 녹여 3~5분간 서서히 주사하거나 고용량에서는 희석하여 20분에서 60분 간 점적 주사를 하며, 근육주사는 둔부 깊숙이 주사합니다. 소아, 신장 기능 저하 환자 등은 용량 조절이 필요합니다. "
Scenario1,7,예 반드시 희석 후 투여해야 합니다.,예 반드시 희석 후 투여해야 합니다.,"세포탁심을 녹여서 주입하는 이유는, 세포탁심이 분말 형태로 제조되어 있어 주사 전에 안전하고 효과적인 투여를 위해 주사용수나 생리식염수 등의 용매에 희석해야 하기 때문입니다. \n이 과정은 약물의 안정성 유지와 정맥 또는 근육 주사 시 주사 부위의 자극을 줄이고, 투여 속도를 조절하여 부작용을 최소화하는 데 중요합니다. 특히 고용량 투여 시에는 희석을 통해 천천히 점적 주사함으로써 약물 농도를 조절하고, 혈관 내 자극을 방지합니다."
Scenario1,7,"아니오, 희석 없이 바로 투여한다.",예 반드시 희석 후 투여해야 합니다.,"“약물의 희석여부가 잘못 되었습니다.” 세포탁심은 분말 형태로 제조되어 있어 주사 전에 안전하고 효과적인 투여를 위해 주사용수나 생리식염수 등의 용매에 희석이 필요합니다. \n이 과정은 약물의 안정성 유지와 정맥 또는 근육 주사 시 주사 부위의 자극을 줄이고, 투여 속도를 조절하여 부작용을 최소화하는 데 중요합니다. 특히 고용량 투여 시에는 희석을 통해 천천히 점적 주사함으로써 약물 농도를 조절하고, 혈관 내 자극을 방지합니다."
Scenario1,8,"적합, 약물의 유효기간은 정상입니다.","적합, 약물의 유효기간은 정상입니다.",유효기간이 지난 약물은 효과 저하나 안전성 문제를 야기할 수 있으므로 반드시 확인해야 합니다.
Scenario1,8,부적합. 약물의 유효기간이 만료되었습니다.,"적합, 약물의 유효기간은 정상입니다.","""약물의 유효기간이 지난 경우 제조사에서 보증하는 품질과 효능 유지 기간을 초과한 것으로, 약효가 감소하거나 변질되어 안전성과 효과가 보장되지 않으므로 투약이 금지됩니다. 따라서 환아에게 위해를 미칠 위험을 방지하기 위해 반드시 유효기간을 확인하고, 만료된 약물은 사용하지 않아야 합니다."""
Scenario1,8,부적합. 약물의 유효기간이 만료되었습니다.,부적합. 약물의 유효기간이 만료되었습니다.,유효기간이 지난 약물은 효과 저하나 안전성 문제를 야기할 수 있으므로 반드시 확인해야 합니다.
Scenario1,8,"적합, 약물의 유효기간은 정상입니다.",부적합. 약물의 유효기간이 만료되었습니다.,"""약물의 유효기간이 지난 경우 제조사에서 보증하는 품질과 효능 유지 기간을 초과한 것으로, 약효가 감소하거나 변질되어 안전성과 효과가 보장되지 않으므로 투약이 금지됩니다. 따라서 환아에게 위해를 미칠 위험을 방지하기 위해 반드시 유효기간을 확인하고, 만료된 약물은 사용하지 않아야 합니다."""
Scenario1,9,"적합, 용기가 개봉되지 않고 밀봉이 되어있으며 이상 여부 없습니다.","적합, 용기가 개봉되지 않고 밀봉이 되어있으며 이상 여부 없습니다.","적합, 용기가 개봉되지 않고 밀봉이 되어있으며 이상 여부 없습니다. 용기가 개봉되지 않고 밀봉되어 있으며 이상이 없습니다. 이 확인은 약물이 안전하게 보관되고 투여 준비가 완료된 상태임을 검증하는 절차로, 환아 안전을 확보하는 데 매우 중요한 과정입니다"
Scenario1,9,"부적합, 바이알에 균열(crack)이나 파손이 있습니다.","부적합, 바이알에 균열(crack)이나 파손이 있습니다.","적합, 용기가 개봉되지 않고 밀봉이 되어있으며 이상 여부 없습니다. 용기가 개봉되지 않고 밀봉되어 있으며 이상이 없습니다. 이 확인은 약물이 안전하게 보관되고 투여 준비가 완료된 상태임을 검증하는 절차로, 환아 안전을 확보하는 데 매우 중요한 과정입니다"
Scenario1,9,"부적합, 용기 표면이나 라벨이 오염 또는 훼손되어 있습니다.","부적합, 용기 표면이나 라벨이 오염 또는 훼손되어 있습니다.","적합, 용기가 개봉되지 않고 밀봉이 되어있으며 이상 여부 없습니다. 용기가 개봉되지 않고 밀봉되어 있으며 이상이 없습니다. 이 확인은 약물이 안전하게 보관되고 투여 준비가 완료된 상태임을 검증하는 절차로, 환아 안전을 확보하는 데 매우 중요한 과정입니다"
Scenario1,9,"부적합, 용기가 개봉돼었습니다.","부적합, 용기가 개봉돼었습니다.","적합, 용기가 개봉되지 않고 밀봉이 되어있으며 이상 여부 없습니다. 용기가 개봉되지 않고 밀봉되어 있으며 이상이 없습니다. 이 확인은 약물이 안전하게 보관되고 투여 준비가 완료된 상태임을 검증하는 절차로, 환아 안전을 확보하는 데 매우 중요한 과정입니다"
Scenario1,9,부적합. 약물의 유효기간이 만료되었습니다.,부적합. 약물의 유효기간이 만료되었습니다.,"적합, 용기가 개봉되지 않고 밀봉이 되어있으며 이상 여부 없습니다. 용기가 개봉되지 않고 밀봉되어 있으며 이상이 없습니다. 이 확인은 약물이 안전하게 보관되고 투여 준비가 완료된 상태임을 검증하는 절차로, 환아 안전을 확보하는 데 매우 중요한 과정입니다"
Scenario1,9,d,d,"“약물 및 용기의 이상 유무를 다시 확인하세요.“ 약물과 용기의 이상 유무를 확인하는 절차로, 용기가 밀봉되고 균열, 변색, 침전물이 없으면 약물이 안전하게 보관되어 안전한 투약이 가능합니다. 이러한 점검은 약물 무결성과 환아 안전을 확보하는 데 필수적입니다."
Scenario1,10,460mg,460mg,"1회 투여량(mg) = 체중(kg) x 1회 용량(mg/kg), 9.2kg x 50mg/kg = 460mg. ""dose"" 단위를 확인하는 것이 중요하며, ""q8hr""은 8시간마다 반복 투여한다는 의미이지만 1회 용량계산에는 직접 영향을 주지 않습니다"
Scenario1,10,d,d,"“계산 오류가 발생했습니다. 다시 확인해 보세요.” 1회 투여량(mg) = 체중(kg) x 1회 용량(mg / kg), 9.2kg x 50mg / kg = 460mg. ""dose"" 단위를 확인하는 것이 중요하며, ""q8hr""은 8시간마다 반복 투여한다는 의미이지만 1회 용량계산에는 직접 영향을 주지 않습니다"
Scenario1,11,0.9% 생리식염수 Normal saline(Sodium Chloride 0.9%),0.9% 생리식염수 Normal saline(Sodium Chloride 0.9%),"Cefotaxime은 주사용 분말형태이므로 투여 전에 반드시 적절한 용액에 희석해야 하며, 0.9% 생리식염수는 인체의 체액과 유사한 삼투압을 가지고 있어 약물의 안정성을 유지하고 혈관 자극을 최소화하는 데 효과적입니다. "
Scenario1,11,d,d,“선택하신 용액은 Cefotaxime의 권장 희석 용액이 아닙니다.”
Scenario1,12,1.84ml,1.84ml,"1.84ml (직접계산), 먼저, 희석된 용액의 농도 계산합니다. Cefotaxime 500mg을 2ml의 생리식염수에 희석함. 농도 = 총 약물 용량(mg) / 전체 용액 부피(ml). 농도 = 500mg / 2ml = 250mg/ml"
Scenario1,12,d,d,"“희석 후 1회 주입 용량이 잘못 계산 되었습니다.” 다음 처방된 투여 용량을 기준으로 주입 용량(부피) 계산합니다. 주입 용량(ml) = 투여 용량(mg) / 농도(mg / ml). 투여해야 하는 약물 용량이 460mg일 때. 주입 용량 = 460mg / 250mg/ml = 1.84ml. 따라서, 500mg을 2ml로 희석한 상태에서 460mg을 투여하려면 약 1.84ml를 주입하면 됩니다."
Scenario1,13,[1번 : 손 소독제] -> [2번 : 손바닥] -> [3번 : 손등] -> [4번 : 손깍지] -> [5번 : 손가락] -> [6번 : 엄지손가락] -> [7번 : 손톱 밑],[1번 : 손 소독제] -> [2번 : 손바닥] -> [3번 : 손등] -> [4번 : 손깍지] -> [5번 : 손가락] -> [6번 : 엄지손가락] -> [7번 : 손톱 밑],"\n투약 준비 전 감염 예방을 위한 올바른 손 씻기 6단계는 다음과 같습니다:\n\n1) 손바닥과 손바닥을 서로 마주 대고 문질러 줍니다.\n2) 손등과 손바닥을 마주 대고 문질러 줍니다.\n3) 손바닥을 마주 잡고 손깍지를 낀 상태로 문질러 줍니다.\n4) 손가락을 마주 잡고 서로 문질러 줍니다.\n5) 엄지손가락을 다른 손바닥으로 돌려주며 문질러 줍니다.\n6) 손톱 밑까지 깨끗하게 문질러 줍니다.\n이 과정은 흐르는 물과 비누를 사용하며, 최소 30초 이상 실시하는 것이 중요합니다.\n손 구석구석, 특히 손가락 사이와 손톱 밑까지 깨끗이 씻는 것이 감염 예방에 효과적입니다."
Scenario1,13,d,d,"\n손 씻기 순서를 지키지 않으면 손 구석구석이 제대로 세정되지 않아 세균이나 바이러스가 남아 감염 예방 효과가 떨어질 수 있으니, 반드시 올바른 순서대로 손을 씻어 주세요.“\n투약 준비 전 감염 예방을 위한 올바른 손 씻기 6단계는 다음과 같습니다: \n\n1) 손바닥과 손바닥을 서로 마주 대고 문질러 줍니다.\n2) 손등과 손바닥을 마주 대고 문질러 줍니다.\n3) 손바닥을 마주 잡고 손깍지를 낀 상태로 문질러 줍니다.\n4) 손가락을 마주 잡고 서로 문질러 줍니다.\n5) 엄지손가락을 다른 손바닥으로 돌려주며 문질러 줍니다.\n6) 손톱 밑까지 깨끗하게 문질러 줍니다.\n이 과정은 흐르는 물과 비누를 사용하며, 최소 30초 이상 실시하는 것이 중요합니다. 손 구석구석, 특히 손가락 사이와 손톱 밑까지 깨끗이 씻는 것이 감염 예방에 효과적입니다."
Scenario1,14,오른쪽 라벨이 올바른 라벨 입니다.,오른쪽 라벨이 올바른 라벨 입니다.,"\n 약물혼합 후 라벨에는 다음과 같은 정보가 포함됩니다.\n-대상자 정보: 환아 이름, 등록번호, 나이\n-약물명: 혼합한 약물의 정확한 명칭\n-사용한 희석제\n-용량/농도: 총 함유량과 1회 투여량\n-투여방법: IV, IM 등 필요한 투여경로\n-투여날짜, 투여시간"
Scenario1,14,d,d,"\n“약물 식별 오류 위험! 라벨링을 다시 확인하세요” 약물혼합 후 라벨에는 다음과 같은 정보가 포함됩니다.\n-대상자 정보: 환아 이름, 등록번호, 나이\n-약물명: 혼합한 약물의 정확한 명칭\n-사용한 희석제\n-용량/농도: 총 함유량과 1회 투여량\n-투여방법: IV, IM 등 필요한 투여경로\n-투여날짜, 투여시간"
Scenario1,16,이하트/239845,이하트/239845,"환아 이름과 등록번호가 정확히 일치합니다. 확인이 완료되었으며, 안전한 투약을 진행하시기 바랍니다. 정확한 환자 확인은 5Rights [정확한 환자(Right Patient), 정확한 약물 (Right Drug), 정확한 용량 (Right Dose), 정확한 투여 경로 (Right Route), 정확한 시간 (Right Time)] 중 하나로, 안전하고 효과적인 투약을 위해 반드시 지켜져야 하는 기본 원칙입니다."
Scenario1,16,d,d,"\n[이하트 이름 등록번호 확인]\n환아 이름 또는 등록번호가 일치하지 않습니다. 다시 확인해 주시기 바랍니다. 정확한 환자 확인은 5Rights [정확한 환자(Right Patient), 정확한 약물 (Right Drug), 정확한 용량 (Right Dose), 정확한 투여 경로 (Right Route), 정확한 시간 (Right Time)] 중 하나로, 안전하고 효과적인 투약을 위해 반드시 지켜져야 하는 기본 원칙입니다."
Scenario1,18,[1번 : 손 소독제] -> [2번 : 손바닥] -> [3번 : 손등] -> [4번 : 손깍지] -> [5번 : 손가락] -> [6번 : 엄지손가락] -> [7번 : 손톱 밑],[1번 : 손 소독제] -> [2번 : 손바닥] -> [3번 : 손등] -> [4번 : 손깍지] -> [5번 : 손가락] -> [6번 : 엄지손가락] -> [7번 : 손톱 밑],"\n투약 준비 전 감염 예방을 위한 올바른 손 씻기 6단계는 다음과 같습니다:\n\n1) 손바닥과 손바닥을 서로 마주 대고 문질러 줍니다.\n2) 손등과 손바닥을 마주 대고 문질러 줍니다.\n3) 손바닥을 마주 잡고 손깍지를 낀 상태로 문질러 줍니다.\n4) 손가락을 마주 잡고 서로 문질러 줍니다.\n5) 엄지손가락을 다른 손바닥으로 돌려주며 문질러 줍니다.\n6) 손톱 밑까지 깨끗하게 문질러 줍니다.\n이 과정은 흐르는 물과 비누를 사용하며, 최소 30초 이상 실시하는 것이 중요합니다.\n손 구석구석, 특히 손가락 사이와 손톱 밑까지 깨끗이 씻는 것이 감염 예방에 효과적입니다."
Scenario1,18,d,d,"\n손 씻기 순서를 지키지 않으면 손 구석구석이 제대로 세정되지 않아 세균이나 바이러스가 남아 감염 예방 효과가 떨어질 수 있으니, 반드시 올바른 순서대로 손을 씻어 주세요.“\n투약 준비 전 감염 예방을 위한 올바른 손 씻기 6단계는 다음과 같습니다: \n\n1) 손바닥과 손바닥을 서로 마주 대고 문질러 줍니다.\n2) 손등과 손바닥을 마주 대고 문질러 줍니다.\n3) 손바닥을 마주 잡고 손깍지를 낀 상태로 문질러 줍니다.\n4) 손가락을 마주 잡고 서로 문질러 줍니다.\n5) 엄지손가락을 다른 손바닥으로 돌려주며 문질러 줍니다.\n6) 손톱 밑까지 깨끗하게 문질러 줍니다.\n이 과정은 흐르는 물과 비누를 사용하며, 최소 30초 이상 실시하는 것이 중요합니다. 손 구석구석, 특히 손가락 사이와 손톱 밑까지 깨끗이 씻는 것이 감염 예방에 효과적입니다."
Scenario1,19,"정상, 약물 주입 진행","정상, 약물 주입 진행",투약 전 이상 반응 여부를 꼼꼼히 확인하는 것은 환자 안전을 위한 필수 절차입니다.
Scenario1,19,"비정상, IV route 교체 필요","비정상, IV route 교체 필요",투약 전 이상 반응 여부를 꼼꼼히 확인하는 것은 환자 안전을 위한 필수 절차입니다.
Scenario1,19,d,d,"주사 부위에 이상 반응이 있으면 즉시 주입을 중단하고 담당자에게 보고해야 하며, 필요 시 IV 경로를 재삽입해야 합니다"
Scenario1,21,"정상, 이상반응 없음","정상, 이상반응 없음","미세한 이상 신호가 있을 수 있으니, 투여 중 환자 상태를 계속 관찰하고 이상 반응 시 즉시 조치해야 합니다. 꼼꼼한 피부 확인이 안전한 투약의 기본입니다."
